Time,Cell id,Major axis,Minor axis
-15,1,58.302,31.149
-12,1,58.302,31.149
-9,1,58.743,31.858
-6,1,58.743,31.858
-3,1,52.632,23.476
0,1,37.057,17.599
3,1,28.746,18.753
6,1,24.22,19.828
9,1,23.577,19.774
12,1,23.045,20.316
15,1,23.045,20.316
18,1,23.045,20.316
21,1,22.642,20.695
24,1,21.806,21.177
-15,3,51.671,22.449
-12,3,50.692,22.611
-9,3,49.218,22.281
-6,3,48.315,20.644
-3,3,44.612,20.661
0,3,31.23,20.985
3,3,24.978,21.031
6,3,23.77,21.186
9,3,22.563,20.361
12,3,22.563,20.361
15,3,22.131,21.324
18,3,22.137,20.841
21,3,22.137,20.841
24,3,22.137,20.841
27,3,22.137,20.841
-15,4,52.952,37.941
-12,4,52.952,37.941
-9,4,52.952,37.941
-6,4,51.303,35.362
-3,4,41.52,32.093
0,4,28.787,25.457
3,4,24.901,22.119
6,4,23.697,22.2
9,4,23.357,22.015
12,4,23.357,22.015
15,4,22.846,22.138
18,4,23.392,21.679
21,4,23.011,22.218
24,4,22.952,21.124
27,4,22.57,21.259
30,4,22.203,21.88
33,4,22,21.169
36,4,22.048,21.926
39,4,22.213,22.018
42,4,22.213,22.018
45,4,22.542,21.225
-15,5,44.116,31.152
-12,5,44.116,31.152
-9,5,44.604,30.867
-6,5,42.958,27.666
-3,5,37.832,26.961
0,5,33.891,26.914
3,5,26.668,24.505
6,5,23.884,23.032
9,5,23.126,22.341
12,5,23.126,22.341
15,5,23.126,22.341
18,5,23.126,22.341
21,5,23.126,22.341
24,5,23.126,22.341
27,5,23.126,22.341
30,5,23.826,21.398
-15,6,53.684,21.358
-12,6,53.684,21.358
-9,6,50.443,20.256
-6,6,50.443,20.256
-3,6,44.752,21.829
0,6,46.385,18.974
3,6,34.559,18.541
6,6,27.112,19.762
9,6,23.334,21.237
12,6,22.446,21.458
15,6,22.446,21.458
18,6,22.446,21.458
21,6,22.446,21.458
24,6,22.446,21.458
27,6,22.446,21.458
30,6,22.446,21.458
33,6,21.747,21.053
36,6,21.747,21.053
39,6,21.747,21.053
42,6,21.747,21.053
45,6,21.747,21.053
48,6,21.747,21.053
51,6,21.565,21.232
54,6,21.565,21.232
57,6,21.565,21.232
60,6,22.312,21.146
-15,8,58.323,19.542
-12,8,54.213,19.529
-9,8,54.213,19.529
-6,8,54.322,19.594
-3,8,48.486,20.228
0,8,42.432,20.024
3,8,36.03,20.174
6,8,29.609,21.528
9,8,26.172,21.807
12,8,23.627,22.168
15,8,22.57,22.089
18,8,22.57,22.089
21,8,22.57,22.089
24,8,22.57,22.089
27,8,22.57,22.089
-15,9,56.37,24.772
-12,9,53.447,23.792
-9,9,55.077,22.034
-6,9,54.295,21.426
-3,9,54.649,21.057
0,9,46.031,21.247
3,9,33.285,21.86
6,9,29.063,21.904
9,9,26.401,21.977
12,9,25.355,22.25
15,9,24.643,22.291
18,9,23.941,23.111
21,9,23.026,22.429
24,9,23.026,22.429
27,9,23.026,22.429
30,9,23.026,22.429
33,9,24.1,23.054
36,9,24.1,23.054
39,9,23.468,22.87
42,9,23.725,22.665
-15,11,50.917,30.55
-12,11,50.849,29.594
-9,11,51.666,28.081
-6,11,50.049,25.645
-3,11,47.387,23.129
0,11,45.884,21.031
3,11,33.177,21.389
6,11,25.674,21.961
9,11,24.037,21.45
12,11,22.643,21.534
15,11,22.643,21.534
18,11,22.053,21.116
21,11,22.053,21.116
24,11,22.053,21.116
27,11,22.053,21.116
30,11,22.053,21.116
33,11,22.053,21.116
-15,12,52.104,33.722
-12,12,52.104,33.722
-9,12,52.104,33.722
-6,12,52.104,33.722
-3,12,53.553,31.94
0,12,52.98,22.963
3,12,33.831,22.956
6,12,28.892,23.296
9,12,25.661,23.666
12,12,24.378,22.48
15,12,24.378,22.48
18,12,23.096,22.448
21,12,23.096,22.448
24,12,23.096,22.448
27,12,23.288,22.639
30,12,23.288,22.639
33,12,23.288,22.639
36,12,23.16,22.404
39,12,23.16,22.404
42,12,23.337,22.517
45,12,23.337,22.517
48,12,23.136,22.031
51,12,22.655,21.527
54,12,22.655,21.527
57,12,22.655,21.527
60,12,22.655,21.527
-15,13,63.308,31.096
-12,13,63.308,31.096
