Time,Cell id,Major axis,Minor axis
-21,59,50.445,13.61
-18,59,42.969,14.399
-15,59,46.111,15.473
-12,59,48.381,14.249
-9,59,44.495,13.86
-6,59,23.478,16.763
-3,59,23.911,18.078
0,59,20.985,18.788
3,59,20.98,19.283
6,59,20.254,20.254
9,59,20.505,20.239
12,59,20.505,20.239
15,59,20.231,19.997
18,59,NaN,NaN
21,59,NaN,NaN
24,59,NaN,NaN
27,59,NaN,NaN
30,59,NaN,NaN
33,59,NaN,NaN
36,59,NaN,NaN
39,59,NaN,NaN
42,59,NaN,NaN
45,59,NaN,NaN
48,59,NaN,NaN
51,59,NaN,NaN
54,59,NaN,NaN
-21,60,37.483,19.618
-18,60,33.02,18.082
-15,60,35.318,19.204
-12,60,31.404,20.141
-9,60,38.088,19.999
-6,60,33.426,17.88
-3,60,21.746,19.506
0,60,20.796,19.807
3,60,20.997,20.501
6,60,20.498,19.759
9,60,20.004,20.004
12,60,21.481,20.744
15,60,20.98,20.041
18,60,NaN,NaN
21,60,NaN,NaN
24,60,NaN,NaN
27,60,NaN,NaN
30,60,NaN,NaN
33,60,NaN,NaN
36,60,NaN,NaN
39,60,NaN,NaN
42,60,NaN,NaN
45,60,NaN,NaN
48,60,NaN,NaN
51,60,NaN,NaN
-21,61,55.542,13.491
-18,61,56.781,12.875
-15,61,50.986,12.674
-12,61,47.481,12.398
-9,61,44.153,11.476
-6,61,26.199,15.372
-3,61,20.971,18.504
0,61,20.796,19.807
3,61,22.566,16.884
6,61,21.767,18.558
9,61,21.241,18.461
12,61,20.739,19.767
15,61,20.023,19.517
18,61,NaN,NaN
21,61,NaN,NaN
24,61,NaN,NaN
27,61,NaN,NaN
30,61,NaN,NaN
33,61,NaN,NaN
36,61,NaN,NaN
39,61,NaN,NaN
42,61,NaN,NaN
45,61,NaN,NaN
48,61,NaN,NaN
51,61,NaN,NaN
54,61,NaN,NaN
57,61,NaN,NaN
60,61,NaN,NaN
63,61,NaN,NaN
66,61,NaN,NaN
69,61,NaN,NaN
72,61,NaN,NaN
75,61,NaN,NaN
78,61,NaN,NaN
81,61,NaN,NaN
84,61,NaN,NaN
87,61,NaN,NaN
90,61,NaN,NaN
93,61,NaN,NaN
96,61,NaN,NaN
99,61,NaN,NaN
102,61,NaN,NaN
105,61,NaN,NaN
108,61,NaN,NaN
111,61,NaN,NaN
114,61,NaN,NaN
117,61,NaN,NaN
-21,62,66.958,13.697
-18,62,68.151,12.868
-15,62,62.424,14.487
-12,62,65.723,12.728
-9,62,59.973,12.144
-6,62,49.479,13.074
-3,62,57.803,12.684
0,62,33.527,16.752
3,62,27.604,17.177
