cell_id,time,dna_major,dna_minor
1,-15,33.312,22.703
1,-12,33.312,22.703
1,-9,33.66,22.805
1,-6,33.734,23.591
1,-3,29.011,23.831
1,0,23.466,16.165
1,3,17.801,14.131
1,6,14.815,13.64
1,9,14.723,12.906
1,12,15.935,8.106
1,15,15.626,7.274
1,18,15.012,6.299
1,21,15.164,6.132
3,-15,28.387,15.465
3,-12,27.586,17.919
3,-9,28.753,17.767
3,-6,27.831,18.028
3,-3,25.332,16.581
3,0,22.365,14.679
3,3,16.463,11.918
3,6,15.036,13.182
3,9,14.319,12.792
3,12,16.158,9.221
3,15,16.143,7.067
3,18,15.785,6.436
3,21,16.192,6.163
4,-15,28.915,20.295
4,-12,28.915,20.295
4,-9,28.915,20.295
4,-6,28.915,20.295
4,-3,28.155,19.021
4,0,22.948,12.138
4,3,15.868,10.515
4,6,16.833,8.609
4,9,15.032,7.736
4,12,14.951,6.861
4,15,15.33,6.149
4,18,15.759,6.29
4,21,14.966,5.517
5,-15,27.693,20.099
5,-12,27.693,20.099
5,-9,27.693,20.099
5,-6,26.845,19.058
5,-3,26.41,19.21
5,0,21.37,17.603
5,3,13.645,13.406
5,6,13.493,12.56
5,9,13.364,10.1
5,12,15.528,6.801
5,15,15.603,5.767
5,18,14.909,5.372
5,21,15.294,6.183
6,-15,26.611,16.095
6,-12,26.611,16.095
6,-9,26.611,16.095
6,-6,26.611,16.095
6,-3,25.965,15.347
6,0,26.55,14.208
6,3,17.047,12.814
6,6,14.466,13.572
6,9,14.393,12.906
6,12,15.662,10.679
6,15,14.2,6.796
6,18,14.333,6.566
6,21,14.946,5.949
8,-15,25.703,15.425
8,-12,25.784,16.237
8,-9,26.484,16.564
8,-6,26.484,16.564
8,-3,24.507,14.792
8,0,23.986,13.395
8,3,17.024,14.435
8,6,14.282,13.249
8,9,14.184,10.088
8,12,15.923,6.326
8,15,15.696,6.153
8,18,15.846,5.344
8,21,15.304,5.885
9,-15,27.228,16.02
9,-12,27.228,16.02
9,-9,27.228,16.02
9,-6,27.97,18.268
9,-3,27.205,18.165
9,0,27.679,15.757
9,3,20.875,12.806
9,6,17.705,11.576
9,9,16.302,8.719
9,12,15.896,8.074
9,15,17.335,6.276
9,18,17.518,6.121
9,21,17.086,6.463
11,-15,23.049,17.876
11,-12,23.049,17.876
11,-9,23.049,17.876
11,-6,23.049,17.876
11,-3,23.611,19.252
11,0,23.259,18.145
11,3,15.168,14.049
11,6,14.05,12.393
11,9,13.889,13.595
11,12,14.448,10.721
11,15,14.195,10.494
11,18,14.853,6.701
11,21,16.049,4.778
12,-15,27.558,23.112
12,-12,27.558,23.112
12,-9,27.462,25.093
12,-6,28.91,24.025
12,-3,29.715,22.477
12,0,26.275,21.296
12,3,21.883,14.416
12,6,16.561,12.999
12,9,15.977,12.468
12,12,15.018,8.981
12,15,15.906,7.587
12,18,16.713,8.208
12,21,16.963,6.12
13,-15,31.872,18.77
13,-12,31.872,18.77
13,-9,31.349,20.026
13,-6,31.349,20.026
13,-3,31.349,20.026
13,0,27.621,16.311
13,3,24.312,15.592
13,6,14.883,13.153
13,9,16.279,11.885
13,12,14.868,9.015
13,15,15.82,7.376
13,18,16.305,6.644
13,21,16.105,6.426
14,-15,30.438,19.162
14,-12,30.438,19.162
14,-9,30.438,19.162
14,-6,27.611,19.412
14,-3,26.58,18.659
14,0,24.475,19.38
14,3,15.616,14.52
14,6,14.608,13.861
14,9,14.416,13.978
14,12,14.227,9.38
14,15,15.982,6.532
14,18,14.113,5.919
14,21,13.459,5.709
15,-15,25.29,16.071
15,-12,25.29,16.071
15,-9,26.099,17.262
15,-6,26.099,17.262
15,-3,26.147,15.604
15,0,24.118,14.547
15,3,16.522,12.597
15,6,13.501,10.733
15,9,14.101,11.171
15,12,14.648,8.238
15,15,14.841,6.588
15,18,15.209,5.603
15,21,14.845,5.636
16,-15,21.865,15.511
16,-12,21.865,15.511
16,-9,21.865,15.511
16,-6,23.963,15.101
16,-3,22.89,13.446
16,0,21.695,11.546
16,3,15.674,10.782
16,6,15.749,11.059
16,9,14.477,8.744
16,12,14.928,7.791
16,15,14.156,6.499
16,18,15.118,6.585
16,21,14.701,6.155
17,-15,24.092,17.324
17,-12,24.092,17.324
17,-9,24.092,17.324
17,-6,23.082,16.875
17,-3,24.298,17.272
17,0,19.649,15.785
17,3,15.113,13.611
17,6,15.226,12.541
17,9,14.419,9.897
17,12,15.536,7.873
17,15,16.567,6.165
17,18,15.554,5.54
17,21,15.054,5.833
18,-15,25.955,21.112
18,-12,26.474,20.156
18,-9,24.891,19.523
18,-6,23.265,19.025
18,-3,22.972,17.921
18,0,20.84,13.099
18,3,16.439,12.726
18,6,15.255,10.26
18,9,14.438,8.581
18,12,16.047,6.731
18,15,13.469,6.039
18,18,15.576,5.914
18,21,15.039,5.9
19,-15,27.125,16.776
19,-12,27.125,16.776
19,-9,27.125,16.776
19,-6,24.686,14.674
19,-3,26.099,14.946
19,0,22.894,11.692
19,3,17.55,12.761
19,6,17.238,12.472
19,9,16.421,11.534
19,12,15.408,8.494
19,15,16.461,6.987
19,18,16.487,6.546
19,21,16.292,6.414
20,-15,25.905,16.838
20,-12,25.905,16.838
20,-9,24.131,16.14
20,-6,23.554,16.581
20,-3,22.705,15.131
20,0,22.255,13.686
20,3,16.621,13.431
20,6,15.003,10.879
20,9,15.642,7.697
20,12,15.578,7.036
20,15,15.907,6.473
20,18,16.315,6.808
20,21,16.125,6.331
23,-15,24.854,13.194
23,-12,24.854,13.194
23,-9,24.212,13.118
23,-6,24.212,13.118
23,-3,22.934,11.926
23,0,21.35,11.656
23,3,16.949,12.629
23,6,13.641,13.145
23,9,13.562,12.97
23,12,14.629,12.188
23,15,15.136,8.801
23,18,15.446,7.157
23,21,14.28,7.301
25,-15,25.148,18.15
25,-12,24.993,17.796
25,-9,22.776,18.259
25,-6,22.74,16.053
25,-3,21.104,15.716
25,0,20.126,12.295
25,3,17.392,12.308
25,6,16.89,10.796
25,9,17.811,7.237
25,12,17.788,5.365
25,15,16.1,5.911
25,18,16.925,5.647
25,21,16.507,5.384
26,-15,22.752,17.984
26,-12,23.271,16.713
26,-9,24.362,15.793
26,-6,22.567,15.68
26,-3,22.543,15.855
26,0,19.463,14.715
26,3,16.282,12.648
26,6,14.606,10.742
26,9,15.436,8.088
26,12,14.985,7.962
26,15,15.293,7.229
26,18,14.409,6.778
26,21,14.825,6.661
27,-15,23.936,14.737
27,-12,23.936,14.737
27,-9,23.936,14.737
27,-6,24.826,15.42
27,-3,24.798,16.897
27,0,19.081,16.206
27,3,15.477,11.594
27,6,15.445,10.782
27,9,15.378,8.071
27,12,14.62,6.286
27,15,16.14,5.89
27,18,17.305,5.666
27,21,17.365,6.135
28,-15,28.007,19.739
28,-12,26.043,18.737
28,-9,25.574,19.324
28,-6,24.01,17.727
28,-3,24.254,18.022
28,0,19.854,14.689
28,3,15.687,11.841
28,6,15.824,8.962
28,9,17.116,8.202
28,12,16.08,9.318
28,15,16.442,8.04
28,18,15.207,6.334
28,21,14.585,6.122
29,-15,25.57,17.484
29,-12,25.547,17.217
29,-9,26.457,16.794
29,-6,24.983,16.142
