raw,cell_id,treatment,lgn_background,cell_area,lgn_mean,cell_major,cell_minor,cell_angle
,1,control,2213,1118.179,2709.82,41.806,34.055,11.306
,2,control,2197,1157.703,2849.276,42.478,34.701,19.504
,3,control,2218,1111.61,2986.131,43.327,32.667,20.988
,4,control,2305,674.265,2775.567,45.008,19.074,44.447
,5,control,2343,641.366,2860.476,45.222,18.058,44.584
,6,control,2296,545.194,2833.912,39.099,17.754,40.625
,7,control,2339,471.087,3033.468,36.027,16.649,40.545
,8,control,2273,1433.472,2750.641,44.212,41.282,172.947
,9,control,2293,549.63,2831.131,35.75,19.575,37.815
,10,control,2276,1413.429,2810.343,44.856,40.12,19.595
,11,control,2269,1458.231,2816.019,44.567,41.66,9.581
,12,control,2254,1427.521,2850.103,44.019,41.291,4.417
,13,control,2285,1473.165,2854.647,46.189,40.609,21.52
,14,control,2301,525.039,2851.09,34.539,19.355,36.913
,15,control,2260,1039.58,3006.422,48.688,27.186,65.136
,16,importazole,2213,705.311,2726.395,39.822,22.551,46.061
,17,importazole,2171,620.032,2650.88,35.593,22.18,90.405
,18,importazole,2194,691.163,2864.02,39.734,22.148,45.051
,19,importazole,2165,545.363,2674.07,32.915,21.096,88.39
,20,importazole,2374,561.139,2911.666,36.756,19.438,125.795
,21,importazole,2277,855.379,2933.889,47.64,22.861,40.129
,22,importazole,2291,893.274,3087.576,48.568,23.418,36.415
,23,importazole,2245,726.926,3396.577,36.681,25.233,26.348
,24,importazole,2233,759.993,3099.986,37.118,26.07,178.986
,25,importazole,2277,828.206,3245.163,40.103,26.295,0.047
,26,importazole,2262,1107.961,3189.888,45.75,30.835,157.303
,27,control,1849,951.774,1940.767,46.48,26.072,71.632
,28,control,1845,889.176,1949.842,48.208,23.485,71.661
,29,control,1839,1750.506,1892.094,53.497,41.662,99.166
,30,control,1844,1887.155,1890.863,55.495,43.297,105.543
,31,control,1844,1006.681,1891.92,49.626,25.828,105.281
,32,control,1847,1133.169,1914.719,62.021,23.263,148.618
,33,control,1837,963.003,1876.937,41.727,29.384,11.807
,34,control,1831,1092.354,1875.685,47.923,29.022,14.006
,35,control,1847,980.519,1890.114,39.948,31.252,116.822
,36,control,1847,1583.371,1898.046,55.518,36.313,47.745
,37,control,1839,1254.155,1886.118,47.544,33.587,135.38
,38,control,1845,877.33,1892.856,43.154,25.885,3.854
,39,control,1848,894.397,1919.027,36.909,30.854,89.825
,40,control,1851,1242.533,1912.107,55.662,28.422,113.409
,41,importazole,1850,897.373,1954.8,48.408,23.603,71.392
,42,importazole,1844,836.739,1954.854,47.601,22.381,66.798
,43,importazole,1850,1499.664,1909.902,49.262,38.761,97.369
,44,importazole,1844,1076.353,1892.751,51.836,26.438,104.632
,45,importazole,1848,966.989,1901.201,41.271,29.832,34.043
,46,importazole,1848,1012.913,1892.382,41.124,31.361,120.899
,47,importazole,1849,1443.69,1899.375,51.639,35.597,45.687
,48,importazole,1849,1192.343,1911.114,49.893,30.428,49.819
,49,importazole,1844,1356.67,1886.8,50.881,33.949,136.748
,50,importazole,1851,861.161,1893.643,43.091,25.445,3.859
,51,importazole,1847,874.916,1906.976,35.499,31.381,89.511
,52,importazole,1850,1242.028,1911.693,58.312,27.12,114.032
