cell_id,condition,time,spindle_angle
1,micropattern_lgn_rnai,0,72.357196
1,micropattern_lgn_rnai,3,101.709757
1,micropattern_lgn_rnai,6,116.858178
1,micropattern_lgn_rnai,9,130.613668
1,micropattern_lgn_rnai,12,127.188656
1,micropattern_lgn_rnai,15,111.056738
1,micropattern_lgn_rnai,18,143.205489
2,micropattern_lgn_rnai,0,-85.117959
2,micropattern_lgn_rnai,3,-98.389883
2,micropattern_lgn_rnai,6,-85.565498
2,micropattern_lgn_rnai,9,-101.34942
2,micropattern_lgn_rnai,12,-92.023351
3,micropattern_lgn_rnai,0,10.83277
3,micropattern_lgn_rnai,3,-9.599612
3,micropattern_lgn_rnai,6,-28.354746
3,micropattern_lgn_rnai,9,-33.033218
3,micropattern_lgn_rnai,12,-20.548598
3,micropattern_lgn_rnai,15,-24.278688
3,micropattern_lgn_rnai,18,-57.029593
3,micropattern_lgn_rnai,21,-54.236004
3,micropattern_lgn_rnai,24,-43.826171
3,micropattern_lgn_rnai,27,-50.843835
3,micropattern_lgn_rnai,30,-16.97108
3,micropattern_lgn_rnai,33,-55.565903
3,micropattern_lgn_rnai,36,-54.746589
3,micropattern_lgn_rnai,39,-54.746589
3,micropattern_lgn_rnai,42,-66.526971
3,micropattern_lgn_rnai,45,-55.477146
3,micropattern_lgn_rnai,48,-77.372813
3,micropattern_lgn_rnai,51,-73.674525
3,micropattern_lgn_rnai,54,-57.431589
3,micropattern_lgn_rnai,57,-53.191802
3,micropattern_lgn_rnai,60,-82.165266
3,micropattern_lgn_rnai,63,-57.543889
3,micropattern_lgn_rnai,66,-49.737267
3,micropattern_lgn_rnai,69,-46.620138
3,micropattern_lgn_rnai,72,-43.044275
3,micropattern_lgn_rnai,75,-47.751154
3,micropattern_lgn_rnai,78,-49.528531
3,micropattern_lgn_rnai,81,-53.758984
3,micropattern_lgn_rnai,84,-61.094239
3,micropattern_lgn_rnai,87,-49.431726
3,micropattern_lgn_rnai,90,-53.521801
3,micropattern_lgn_rnai,93,-56.810537
3,micropattern_lgn_rnai,96,-61.7468
3,micropattern_lgn_rnai,99,-50.459291
3,micropattern_lgn_rnai,102,-54.281628
3,micropattern_lgn_rnai,105,-31.019551
4,micropattern_lgn_rnai,0,-49.379754
4,micropattern_lgn_rnai,3,-20.043183
4,micropattern_lgn_rnai,6,-26.367897
4,micropattern_lgn_rnai,9,-1.490995
4,micropattern_lgn_rnai,12,-8.437535
4,micropattern_lgn_rnai,15,-0.481606
4,micropattern_lgn_rnai,18,-0.52968
5,micropattern_lgn_rnai,0,68.755602
5,micropattern_lgn_rnai,3,131.148066
5,micropattern_lgn_rnai,6,160.484637
5,micropattern_lgn_rnai,9,154.159923
5,micropattern_lgn_rnai,12,179.036825
5,micropattern_lgn_rnai,15,172.090285
5,micropattern_lgn_rnai,18,180.046214
5,micropattern_lgn_rnai,21,179.99814
5,micropattern_lgn_rnai,24,191.960707
5,micropattern_lgn_rnai,27,180
5,micropattern_lgn_rnai,30,165.833526
5,micropattern_lgn_rnai,33,160.559729
5,micropattern_lgn_rnai,36,158.455968
5,micropattern_lgn_rnai,39,185.160648
5,micropattern_lgn_rnai,42,157.781514
5,micropattern_lgn_rnai,45,198.640589
5,micropattern_lgn_rnai,48,174.120628
5,micropattern_lgn_rnai,51,168.720452
5,micropattern_lgn_rnai,54,180.656403
5,micropattern_lgn_rnai,57,183.17964
5,micropattern_lgn_rnai,60,177.697839
5,micropattern_lgn_rnai,63,181.427996
6,micropattern_lgn_rnai,0,-4.687771
6,micropattern_lgn_rnai,3,-20.195691
6,micropattern_lgn_rnai,6,-12.497245
6,micropattern_lgn_rnai,9,9.005864
7,micropattern_lgn_rnai,0,4.948061
7,micropattern_lgn_rnai,3,1.79501
7,micropattern_lgn_rnai,6,-0.590224
7,micropattern_lgn_rnai,9,8.099109
7,micropattern_lgn_rnai,12,29.048123
7,micropattern_lgn_rnai,15,10.841946
7,micropattern_lgn_rnai,18,7.751326
7,micropattern_lgn_rnai,21,13.706827
8,micropattern_lgn_rnai,0,-78.890621
8,micropattern_lgn_rnai,3,-66.223689
8,micropattern_lgn_rnai,6,-69.076066
8,micropattern_lgn_rnai,9,-30.03892
8,micropattern_lgn_rnai,12,-55.309781
8,micropattern_lgn_rnai,15,-21.973051
8,micropattern_lgn_rnai,18,-52.865635
8,micropattern_lgn_rnai,21,-49.4401
9,micropattern_lgn_rnai,0,49.042261
9,micropattern_lgn_rnai,3,48.979064
9,micropattern_lgn_rnai,6,41.517801
9,micropattern_lgn_rnai,9,22.993418
9,micropattern_lgn_rnai,12,36.160659
9,micropattern_lgn_rnai,15,38.552726
9,micropattern_lgn_rnai,18,34.897941
10,micropattern_lgn_rnai,0,21.800766
10,micropattern_lgn_rnai,3,10.460172
10,micropattern_lgn_rnai,6,13.727712
10,micropattern_lgn_rnai,9,21.143691
10,micropattern_lgn_rnai,12,16.662321
10,micropattern_lgn_rnai,15,33.517067
10,micropattern_lgn_rnai,18,49.829861
10,micropattern_lgn_rnai,21,50.000869
10,micropattern_lgn_rnai,24,49.356535
11,micropattern_lgn_rnai,0,17.506569
11,micropattern_lgn_rnai,3,-2.384641
11,micropattern_lgn_rnai,6,-11.986231
11,micropattern_lgn_rnai,9,6.972242
11,micropattern_lgn_rnai,12,25.469347
11,micropattern_lgn_rnai,15,18.208222
11,micropattern_lgn_rnai,18,0.419331
11,micropattern_lgn_rnai,21,13.602997
11,micropattern_lgn_rnai,24,10.112444
11,micropattern_lgn_rnai,27,0.419668
11,micropattern_lgn_rnai,30,-8.524832
11,micropattern_lgn_rnai,33,-36.478326
11,micropattern_lgn_rnai,36,-13.603595
11,micropattern_lgn_rnai,39,-16.985587
11,micropattern_lgn_rnai,42,-12.597828
11,micropattern_lgn_rnai,45,7.033994
11,micropattern_lgn_rnai,48,8.612582
11,micropattern_lgn_rnai,51,8.942957
11,micropattern_lgn_rnai,54,29.094432
11,micropattern_lgn_rnai,57,18.306568
11,micropattern_lgn_rnai,60,39.750809
11,micropattern_lgn_rnai,63,40.986773
11,micropattern_lgn_rnai,66,31.166068
11,micropattern_lgn_rnai,69,25.923891
11,micropattern_lgn_rnai,72,12.897105
11,micropattern_lgn_rnai,75,26.846168
11,micropattern_lgn_rnai,78,22.367394
11,micropattern_lgn_rnai,81,18.863688
11,micropattern_lgn_rnai,84,18.81141
11,micropattern_lgn_rnai,87,25.929591
11,micropattern_lgn_rnai,90,24.243825
11,micropattern_lgn_rnai,93,12.052545
12,micropattern_lgn_rnai,0,-69.363094
12,micropattern_lgn_rnai,3,-65.574311
12,micropattern_lgn_rnai,6,-57.637435
12,micropattern_lgn_rnai,9,-36.301103
12,micropattern_lgn_rnai,12,-44.046143
12,micropattern_lgn_rnai,15,-36.047784
12,micropattern_lgn_rnai,18,-9.931204
12,micropattern_lgn_rnai,21,-9.14865
12,micropattern_lgn_rnai,24,-31.363736
12,micropattern_lgn_rnai,27,-17.955431
13,micropattern_lgn_rnai,0,-74.760023
13,micropattern_lgn_rnai,3,-78.447849
13,micropattern_lgn_rnai,6,-63.850959
13,micropattern_lgn_rnai,9,-55.670303
13,micropattern_lgn_rnai,12,-69.234786
13,micropattern_lgn_rnai,15,-43.97891
13,micropattern_lgn_rnai,18,-56.86526
13,micropattern_lgn_rnai,21,-36.455959
13,micropattern_lgn_rnai,24,-28.460706
13,micropattern_lgn_rnai,27,-47.567622
13,micropattern_lgn_rnai,30,-32.282092
14,micropattern_lgn_rnai,0,60.376591
14,micropattern_lgn_rnai,3,46.46805
14,micropattern_lgn_rnai,6,63.607711
14,micropattern_lgn_rnai,9,53.755848
14,micropattern_lgn_rnai,12,51.46001
14,micropattern_lgn_rnai,15,94.101447
14,micropattern_lgn_rnai,18,68.741469
14,micropattern_lgn_rnai,21,79.598232
15,micropattern_lgn_rnai,0,4.351177
15,micropattern_lgn_rnai,3,-26.9876
15,micropattern_lgn_rnai,6,-4.321243
15,micropattern_lgn_rnai,9,-17.528614
15,micropattern_lgn_rnai,12,-7.48376
15,micropattern_lgn_rnai,15,-46.661152
16,micropattern_lgn_rnai,0,21.117459
16,micropattern_lgn_rnai,3,14.902593
16,micropattern_lgn_rnai,6,22.846914
16,micropattern_lgn_rnai,9,20.563421
16,micropattern_lgn_rnai,12,17.968555
16,micropattern_lgn_rnai,15,5.15755
16,micropattern_lgn_rnai,18,9.345429
16,micropattern_lgn_rnai,21,-10.822523
17,micropattern_lgn_rnai,0,41.673039
17,micropattern_lgn_rnai,3,21.231255
17,micropattern_lgn_rnai,6,18.765708
17,micropattern_lgn_rnai,9,12.271288
17,micropattern_lgn_rnai,12,-4.040297
17,micropattern_lgn_rnai,15,-4.985218
17,micropattern_lgn_rnai,18,7.122633
17,micropattern_lgn_rnai,21,19.586495
18,micropattern_lgn_rnai,0,66.5395
18,micropattern_lgn_rnai,3,43.864042
18,micropattern_lgn_rnai,6,30.003181
18,micropattern_lgn_rnai,9,53.499633
18,micropattern_lgn_rnai,12,34.199054
18,micropattern_lgn_rnai,15,25.230324
18,micropattern_lgn_rnai,18,39.524013
19,micropattern_lgn_rnai,0,-82.751662
19,micropattern_lgn_rnai,3,-130.606447
19,micropattern_lgn_rnai,6,-127.277849
19,micropattern_lgn_rnai,9,-131.72985
19,micropattern_lgn_rnai,12,-141.506193
19,micropattern_lgn_rnai,15,-147.576693
19,micropattern_lgn_rnai,18,-134.101703
19,micropattern_lgn_rnai,21,-106.99706
20,micropattern_lgn_rnai,0,16.850504
20,micropattern_lgn_rnai,3,19.231373
20,micropattern_lgn_rnai,6,15.848567
20,micropattern_lgn_rnai,9,25.580331
20,micropattern_lgn_rnai,12,3.844344
20,micropattern_lgn_rnai,15,16.816352
20,micropattern_lgn_rnai,18,5.17872
20,micropattern_lgn_rnai,21,22.788213
20,micropattern_lgn_rnai,24,1.076901
20,micropattern_lgn_rnai,27,1.787207
20,micropattern_lgn_rnai,30,17.096141
20,micropattern_lgn_rnai,33,18.375219
20,micropattern_lgn_rnai,36,8.142814
20,micropattern_lgn_rnai,39,10.041263
20,micropattern_lgn_rnai,42,23.57699
20,micropattern_lgn_rnai,45,22.789231
21,micropattern_lgn_rnai,0,-71.880856
21,micropattern_lgn_rnai,3,-101.819042
21,micropattern_lgn_rnai,6,-70.15862
21,micropattern_lgn_rnai,9,-105.391106
21,micropattern_lgn_rnai,12,-94.520256
21,micropattern_lgn_rnai,15,-114.338713
21,micropattern_lgn_rnai,18,-67.894718
21,micropattern_lgn_rnai,21,-38.922347
22,micropattern_lgn_rnai,0,42.471528
22,micropattern_lgn_rnai,3,77.53621
22,micropattern_lgn_rnai,6,73.08822
22,micropattern_lgn_rnai,9,78.216235
22,micropattern_lgn_rnai,12,70.894411
22,micropattern_lgn_rnai,15,54.022977
22,micropattern_lgn_rnai,18,55.918819
22,micropattern_lgn_rnai,21,46.143192
22,micropattern_lgn_rnai,24,36.494201
22,micropattern_lgn_rnai,27,43.171899
22,micropattern_lgn_rnai,30,51.505776
22,micropattern_lgn_rnai,33,79.449449
22,micropattern_lgn_rnai,36,83.173355
22,micropattern_lgn_rnai,39,88.652263
22,micropattern_lgn_rnai,42,65.377114
22,micropattern_lgn_rnai,45,79.345451
22,micropattern_lgn_rnai,48,59.384991
22,micropattern_lgn_rnai,51,60.4574
22,micropattern_lgn_rnai,54,50.549296
22,micropattern_lgn_rnai,57,53.876574
22,micropattern_lgn_rnai,60,64.198295
22,micropattern_lgn_rnai,63,76.380225
22,micropattern_lgn_rnai,66,89.40078
22,micropattern_lgn_rnai,69,95.912253
22,micropattern_lgn_rnai,72,91.584185
22,micropattern_lgn_rnai,75,80.958507
23,micropattern_lgn_rnai,0,-33.910963
23,micropattern_lgn_rnai,3,-48.813469
23,micropattern_lgn_rnai,6,-133.87379
23,micropattern_lgn_rnai,9,-66.547153
23,micropattern_lgn_rnai,12,-66.547153
23,micropattern_lgn_rnai,15,-66.547153
23,micropattern_lgn_rnai,18,-66.547153
23,micropattern_lgn_rnai,21,-1.981074
24,micropattern_lgn_rnai,0,48.534653
24,micropattern_lgn_rnai,3,30.68597
24,micropattern_lgn_rnai,6,16.364991
24,micropattern_lgn_rnai,9,34.604873
24,micropattern_lgn_rnai,12,68.5822
24,micropattern_lgn_rnai,15,63.166126
24,micropattern_lgn_rnai,18,59.885527
24,micropattern_lgn_rnai,21,47.543414
24,micropattern_lgn_rnai,24,46.748449
24,micropattern_lgn_rnai,27,47.576504
24,micropattern_lgn_rnai,30,54.73609
24,micropattern_lgn_rnai,33,39.342358
24,micropattern_lgn_rnai,36,42.603653
24,micropattern_lgn_rnai,39,46.183603
24,micropattern_lgn_rnai,42,57.313298
24,micropattern_lgn_rnai,45,68.342623
24,micropattern_lgn_rnai,48,62.649034
24,micropattern_lgn_rnai,51,49.853634
24,micropattern_lgn_rnai,54,64.159246
24,micropattern_lgn_rnai,57,56.41523
24,micropattern_lgn_rnai,60,58.521513
24,micropattern_lgn_rnai,63,62.731069
24,micropattern_lgn_rnai,66,72.782833
24,micropattern_lgn_rnai,69,61.710234
24,micropattern_lgn_rnai,72,72.63766
24,micropattern_lgn_rnai,75,59.851865
24,micropattern_lgn_rnai,78,67.279364
24,micropattern_lgn_rnai,81,53.564901
24,micropattern_lgn_rnai,84,55.494369
25,micropattern_lgn_rnai,0,-73.671832
25,micropattern_lgn_rnai,3,-68.228214
25,micropattern_lgn_rnai,6,-69.329717
25,micropattern_lgn_rnai,9,-79.566406
25,micropattern_lgn_rnai,12,-79.020336
25,micropattern_lgn_rnai,15,-76.728909
25,micropattern_lgn_rnai,18,-93.384987
25,micropattern_lgn_rnai,21,-66.93376
26,micropattern_lgn_rnai,0,23.658401
26,micropattern_lgn_rnai,3,24.296172
26,micropattern_lgn_rnai,6,9.561355
26,micropattern_lgn_rnai,9,14.367168
26,micropattern_lgn_rnai,12,27.050307
26,micropattern_lgn_rnai,15,16.113733
26,micropattern_lgn_rnai,18,16.802584
26,micropattern_lgn_rnai,21,25.445843
26,micropattern_lgn_rnai,24,5.974561
26,micropattern_lgn_rnai,27,40.010739
26,micropattern_lgn_rnai,30,33.125961
26,micropattern_lgn_rnai,33,36.566731
26,micropattern_lgn_rnai,36,5.59398
26,micropattern_lgn_rnai,39,8.307026
26,micropattern_lgn_rnai,42,5.798602
26,micropattern_lgn_rnai,45,6.274258
26,micropattern_lgn_rnai,48,43.272448
26,micropattern_lgn_rnai,51,35.128328
26,micropattern_lgn_rnai,54,46.121462
26,micropattern_lgn_rnai,57,53.650755
26,micropattern_lgn_rnai,60,33.498877
26,micropattern_lgn_rnai,63,34.019324
27,micropattern_lgn_rnai,0,-70.684288
27,micropattern_lgn_rnai,3,-70.607758
27,micropattern_lgn_rnai,6,-64.841521
27,micropattern_lgn_rnai,9,-74.43957
27,micropattern_lgn_rnai,12,-67.437702
28,micropattern_lgn_rnai,0,-28.805313
28,micropattern_lgn_rnai,3,-13.026111
28,micropattern_lgn_rnai,6,30.382402
28,micropattern_lgn_rnai,9,-11.607096
28,micropattern_lgn_rnai,12,-19.752239
28,micropattern_lgn_rnai,15,-19.315335
29,micropattern_lgn_rnai,0,-44.684517
29,micropattern_lgn_rnai,3,-22.41571
29,micropattern_lgn_rnai,6,-3.704453
29,micropattern_lgn_rnai,9,-17.36462
29,micropattern_lgn_rnai,12,-16.69749
29,micropattern_lgn_rnai,15,-18.979835
29,micropattern_lgn_rnai,18,3.141971
29,micropattern_lgn_rnai,21,-11.347808
29,micropattern_lgn_rnai,24,-8.582281
29,micropattern_lgn_rnai,27,-2.961661
29,micropattern_lgn_rnai,30,-13.702588
29,micropattern_lgn_rnai,33,-21.90397
29,micropattern_lgn_rnai,36,-6.186437
29,micropattern_lgn_rnai,39,-18.273704
29,micropattern_lgn_rnai,42,-14.888426
29,micropattern_lgn_rnai,45,-19.134002
29,micropattern_lgn_rnai,48,-22.928361
29,micropattern_lgn_rnai,51,-18.330555
30,micropattern_lgn_rnai,0,17.814145
30,micropattern_lgn_rnai,3,0.10441
30,micropattern_lgn_rnai,6,13.214653
30,micropattern_lgn_rnai,9,18.185468
30,micropattern_lgn_rnai,12,24.42781
30,micropattern_lgn_rnai,15,26.494872
30,micropattern_lgn_rnai,18,22.729424
30,micropattern_lgn_rnai,21,36.525477
31,micropattern_lgn_rnai,0,-43.493947
31,micropattern_lgn_rnai,3,-41.889402
31,micropattern_lgn_rnai,6,-45.121904
31,micropattern_lgn_rnai,9,-52.995714
31,micropattern_lgn_rnai,12,-51.27016
31,micropattern_lgn_rnai,15,-66.76618
32,micropattern_lgn_rnai,0,-19.830381
32,micropattern_lgn_rnai,3,-21.963891
32,micropattern_lgn_rnai,6,-0.995979
32,micropattern_lgn_rnai,9,-9.114634
33,micropattern_lgn_rnai,0,-20.98734
33,micropattern_lgn_rnai,3,-17.835515
33,micropattern_lgn_rnai,6,-37.107608
33,micropattern_lgn_rnai,9,-13.120138
33,micropattern_lgn_rnai,12,-4.728193
33,micropattern_lgn_rnai,15,8.497783
33,micropattern_lgn_rnai,18,5.717724
33,micropattern_lgn_rnai,21,-12.018659
33,micropattern_lgn_rnai,24,-14.825128
33,micropattern_lgn_rnai,27,-18.55331
33,micropattern_lgn_rnai,30,-6.057383
33,micropattern_lgn_rnai,33,-22.377308
33,micropattern_lgn_rnai,36,-48.0544
33,micropattern_lgn_rnai,39,-42.711935
33,micropattern_lgn_rnai,42,-23.159208
33,micropattern_lgn_rnai,45,-35.20638
33,micropattern_lgn_rnai,48,-18.420837
33,micropattern_lgn_rnai,51,-25.230023
33,micropattern_lgn_rnai,54,-9.082277
33,micropattern_lgn_rnai,57,-24.374087
33,micropattern_lgn_rnai,60,15.555243
33,micropattern_lgn_rnai,63,-0.244035
33,micropattern_lgn_rnai,66,-30.073162
33,micropattern_lgn_rnai,69,-55.432162
33,micropattern_lgn_rnai,72,-58.551149
33,micropattern_lgn_rnai,75,-46.737831
33,micropattern_lgn_rnai,78,6.67368
33,micropattern_lgn_rnai,81,-15.527991
33,micropattern_lgn_rnai,84,-28.113483
33,micropattern_lgn_rnai,87,-22.669109
33,micropattern_lgn_rnai,90,-22.576897
33,micropattern_lgn_rnai,93,-16.419042
33,micropattern_lgn_rnai,96,-21.346515
33,micropattern_lgn_rnai,99,-42.373467
33,micropattern_lgn_rnai,102,-64.544284
33,micropattern_lgn_rnai,105,-20.933391
33,micropattern_lgn_rnai,108,-28.917222
33,micropattern_lgn_rnai,111,-15.462242
33,micropattern_lgn_rnai,114,-42.172992
33,micropattern_lgn_rnai,117,-39.727157
33,micropattern_lgn_rnai,120,-23.818778
33,micropattern_lgn_rnai,123,-32.489877
33,micropattern_lgn_rnai,126,-13.141311
33,micropattern_lgn_rnai,129,-24.505763
33,micropattern_lgn_rnai,132,-25.530663
33,micropattern_lgn_rnai,135,-31.338417
33,micropattern_lgn_rnai,138,-22.672038
33,micropattern_lgn_rnai,141,-32.026239
33,micropattern_lgn_rnai,144,-10.226032
33,micropattern_lgn_rnai,147,-16.064952
33,micropattern_lgn_rnai,150,-20.358372
33,micropattern_lgn_rnai,153,-28.458839
33,micropattern_lgn_rnai,156,-31.110654
33,micropattern_lgn_rnai,159,-34.092591
33,micropattern_lgn_rnai,162,-35.60152
33,micropattern_lgn_rnai,165,-56.495324
33,micropattern_lgn_rnai,168,-44.828973
33,micropattern_lgn_rnai,171,-70.101367
33,micropattern_lgn_rnai,174,-56.416166
33,micropattern_lgn_rnai,177,-13.297134
34,micropattern_lgn_rnai,0,66.643945
34,micropattern_lgn_rnai,3,69.159788
34,micropattern_lgn_rnai,6,68.348179
34,micropattern_lgn_rnai,9,59.987315
34,micropattern_lgn_rnai,12,49.976508
34,micropattern_lgn_rnai,15,54.830436
34,micropattern_lgn_rnai,18,56.131861
34,micropattern_lgn_rnai,21,54.991324
34,micropattern_lgn_rnai,24,71.808552
34,micropattern_lgn_rnai,27,32.688855
34,micropattern_lgn_rnai,30,64.248639
34,micropattern_lgn_rnai,33,54.047733
34,micropattern_lgn_rnai,36,49.321037
34,micropattern_lgn_rnai,39,42.875074
34,micropattern_lgn_rnai,42,37.070349
34,micropattern_lgn_rnai,45,19.086744
34,micropattern_lgn_rnai,48,10.419396
34,micropattern_lgn_rnai,51,11.343419
34,micropattern_lgn_rnai,54,8.484058
35,micropattern_lgn_rnai,0,18.106853
35,micropattern_lgn_rnai,3,6.110468
35,micropattern_lgn_rnai,6,11.193871
35,micropattern_lgn_rnai,9,4.758511
