file,position,condition,cell_id,frame,time,centrosome_a_x,centrosome_a_y,centrosome_a_vel,centrosome_a_dir,centrosome_b_x,centrosome_b_y,centrosome_b_vel,centrosome_b_dir,centrosome_mid_x,centrosome_mid_y,centrosome_mid_vel,centrosome_mid_dir,centrosome_distance,centrosome_angle,centrosome_elong,centrosome_rot,spindle_pole_a_x,spindle_pole_a_y,spindle_pole_a_vel,spindle_pole_a_dir,spindle_pole_b_x,spindle_pole_b_y,spindle_pole_b_vel,spindle_pole_b_dir,spindle_mid_x,spindle_mid_y,spindle_mid_vel,spindle_mid_dir,spindle_distance,spindle_angle,spindle_elong,spindle_rot,dna_area,dna_x,dna_y,dna_length,dna_width,dna_angle,cell_area,cell_x,cell_y,cell_length,cell_width,cell_angle
2010.08.06_hela_gfp-tub_rfp-h2b_rap1_stlc_vox-40x,cell_2,rap1_stlc,11,28,-15,140.718,105.001,,,147.408,100.223,,,144.063,102.612,,,8.221033025,-35.53443708,,,,,,,,,,,,,,,,,,,458.994,141.769,103.912,37.363,15.641,107.359,2161.407,146.436,101.834,76.211,36.11,96.944
2010.08.06_hela_gfp-tub_rfp-h2b_rap1_stlc_vox-40x,cell_2,rap1_stlc,11,29,-12,140.479,105.359,0.143482481,123.7269849,147.169,99.865,0.143482481,-123.7269849,143.824,102.612,0.079666667,180,8.656797098,-39.39371975,0.145254691,-1.286427557,,,,,,,,,,,,,,,,,453.472,141.936,104.388,36.493,15.821,107.578,2161.407,146.436,101.834,76.211,36.11,96.944
2010.08.06_hela_gfp-tub_rfp-h2b_rap1_stlc_vox-40x,cell_2,rap1_stlc,11,30,-9,140.957,104.882,0.225095782,-44.94000444,146.81,101.417,0.530993304,103.0242716,143.8835,103.1495,0.180261076,83.68320861,6.801752274,-30.62570669,-0.618348275,2.922671021,,,,,,,,,,,,,,,,,446.28,141.63,103.634,35.439,16.034,109.122,2161.407,146.436,101.834,76.211,36.11,96.944
2010.08.06_hela_gfp-tub_rfp-h2b_rap1_stlc_vox-40x,cell_2,rap1_stlc,11,31,-6,141.554,104.882,0.199,0,145.735,102.731,0.565903506,129.2870323,143.6445,103.8065,0.233040292,109.9901083,4.701867927,-27.22447125,-0.699961449,1.133745146,,,,,,,,,,,,,,,,,451.16,141.792,102.917,34.829,16.493,108.72,2161.407,146.436,101.834,76.211,36.11,96.944
2010.08.06_hela_gfp-tub_rfp-h2b_rap1_stlc_vox-40x,cell_2,rap1_stlc,11,32,-3,141.435,103.926,0.32112597,-97.09550906,144.899,103.09,0.30327417,156.7600646,143.167,103.508,0.187707959,-147.9892242,3.563452259,-13.56827854,-0.379471889,4.552064235,,,,,,,,,,,,,,,,,450.775,142.233,103.152,34.929,16.432,108.181,2161.407,146.436,101.834,76.211,36.11,96.944
2010.08.06_hela_gfp-tub_rfp-h2b_rap1_stlc_vox-40x,cell_2,rap1_stlc,11,33,0,142.032,102.97,0.375698609,-58.01617074,144.182,102.612,0.287242252,-146.3099325,143.107,102.791,0.23983536,-94.78348095,2.179601798,-9.453679007,-0.461283487,1.371533179,142.032,102.97,,,144.182,102.612,,,143.107,102.791,,,2.179601798,9.453679007,,,454.371,142.182,103.75,35.339,16.371,106.661,2161.407,146.436,101.834,76.211,36.11,96.944
2010.08.06_hela_gfp-tub_rfp-h2b_rap1_stlc_vox-40x,cell_2,rap1_stlc,11,34,3,144.302,102.731,0.760849014,-6.01031984,145.974,101.298,0.74070987,-36.25106541,145.138,102.0145,0.724792173,-20.92305394,2.20206108,-40.59847247,0.007486427,-10.38159782,144.302,102.731,0.760849014,-6.01031984,145.974,101.298,0.74070987,-36.25106541,145.138,102.0145,0.724792173,-20.92305394,2.20206108,40.59847247,0.007486427,10.38159782,469.782,141.6,104.771,39.587,15.11,106.775,2161.407,146.436,101.834,76.211,36.11,96.944
2010.08.06_hela_gfp-tub_rfp-h2b_rap1_stlc_vox-40x,cell_2,rap1_stlc,11,35,6,142.749,105.121,0.950082394,123.0154403,145.855,101.537,0.08899563,116.4690784,144.302,103.329,0.519273665,122.4556776,4.742603926,-49.08683405,0.846847615,-2.82945386,142.749,105.121,0.950082394,123.0154403,145.855,101.537,0.08899563,116.4690784,144.302,103.329,0.519273665,122.4556776,4.742603926,49.08683405,0.846847615,2.82945386,341.613,141.433,104.603,33.87,12.842,107.658,1788.715,145.606,102.148,68.691,33.155,96.434
2010.08.06_hela_gfp-tub_rfp-h2b_rap1_stlc_vox-40x,cell_2,rap1_stlc,11,36,9,143.227,103.209,0.656948163,-75.96375653,146.691,101.417,0.281522843,-8.168478624,144.959,102.313,0.403306473,-57.11112797,3.900071794,-27.35347544,-0.280844044,7.244452871,143.227,103.209,0.656948163,-75.96375653,146.691,101.417,0.281522843,-8.168478624,144.959,102.313,0.403306473,-57.11112797,3.900071794,27.35347544,-0.280844044,-7.244452871,249.917,142.028,103.348,24.68,12.893,107.517,1788.715,145.606,102.148,68.691,33.155,96.434
2010.08.06_hela_gfp-tub_rfp-h2b_rap1_stlc_vox-40x,cell_2,rap1_stlc,11,37,12,144.78,101.656,0.732091221,-45,147.647,100.82,0.375698609,-31.98382926,146.2135,101.238,0.550696049,-40.59377132,2.986400007,-16.25636759,-0.304557263,3.699035948,144.78,101.656,0.732091221,-45,147.647,100.82,0.375698609,-31.98382926,146.2135,101.238,0.550696049,-40.59377132,2.986400007,16.25636759,-0.304557263,-3.699035948,265.713,143.031,102.766,25.643,13.194,108.362,1788.715,145.606,102.148,68.691,33.155,96.434
