X,Y,Value
152,36,2162
153,36,4410
154,36,3776
155,36,3144
156,36,3409
157,36,2541
158,36,2610
159,36,3033
160,36,2069
161,36,2571
162,36,2493
163,36,1896
164,36,2075
165,36,2934
166,36,2921
167,36,2119
168,36,3056
149,37,3126
150,37,1997
151,37,2532
152,37,2441
153,37,3726
154,37,4144
155,37,1993
156,37,2498
157,37,2581
158,37,4788
159,37,2292
160,37,1763
161,37,1901
162,37,3141
163,37,2896
164,37,2766
165,37,2539
166,37,3362
167,37,2588
168,37,2114
169,37,2643
170,37,3504
171,37,2583
172,37,2377
173,37,2115
174,37,2363
147,38,3149
148,38,2073
149,38,3175
150,38,2811
151,38,2697
152,38,2782
153,38,2767
154,38,3998
155,38,3504
156,38,2420
157,38,2525
158,38,2801
159,38,3557
160,38,2755
161,38,2216
162,38,3199
163,38,2012
164,38,2052
165,38,2556
166,38,1656
167,38,3808
168,38,2720
169,38,3501
170,38,2822
171,38,3469
172,38,3927
173,38,2323
174,38,2353
175,38,2183
176,38,2424
146,39,2480
147,39,2110
148,39,2139
149,39,3105
150,39,3059
151,39,3378
152,39,2742
153,39,2648
154,39,2416
155,39,3188
156,39,3204
157,39,2745
158,39,2988
159,39,2666
160,39,1970
161,39,3169
162,39,2753
163,39,2601
164,39,2908
165,39,3443
166,39,2221
167,39,2640
168,39,2757
169,39,2848
170,39,4047
171,39,2668
172,39,1775
173,39,3667
174,39,2322
175,39,2381
176,39,3725
177,39,3669
145,40,2719
146,40,3388
147,40,2327
148,40,2939
149,40,2325
150,40,2491
151,40,3435
152,40,3037
153,40,2665
154,40,2586
155,40,3397
156,40,3414
157,40,2327
158,40,3335
159,40,2424
160,40,2246
161,40,2106
162,40,1942
163,40,3120
164,40,3103
165,40,2265
166,40,2314
167,40,2862
168,40,2721
169,40,2065
170,40,2498
171,40,3162
172,40,2799
173,40,2224
174,40,3463
175,40,2921
176,40,2523
177,40,2615
178,40,2377
141,41,2265
142,41,1960
143,41,2176
144,41,3437
145,41,4475
146,41,2220
147,41,2295
148,41,1834
149,41,3288
150,41,4272
151,41,2392
152,41,2960
153,41,3936
154,41,1918
155,41,2725
156,41,1954
