Experiment,Point,Cell,Treatment,Frame,Time,X,Y,Velocity,Cell_Area,Cell_X,Cell_Y,Cell_Major,Cell_Minor,Cell_Angle
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,1,pdms_fn,20,0,323.516,219.521,,2627,336.7,244.4,58.3,57.4,150.8
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,1,pdms_fn,21,3,321.943,219.521,0.524333333,2627,336.7,244.4,58.3,57.4,150.8
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,1,pdms_fn,22,6,320.79,220.884,0.595088976,2627,336.7,244.4,58.3,57.4,150.8
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,1,pdms_fn,23,9,319.218,223.924,1.140798161,2627,336.7,244.4,58.3,57.4,150.8
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,1,pdms_fn,24,12,316.597,230.214,2.271410257,2627,336.7,244.4,58.3,57.4,150.8
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,1,pdms_fn,25,15,315.968,236.399,2.072300547,2627,336.7,244.4,58.3,57.4,150.8
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,1,pdms_fn,26,18,316.282,239.125,0.914674927,2627,336.7,244.4,58.3,57.4,150.8
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,1,pdms_fn,27,21,315.548,240.173,0.426492152,2627,336.7,244.4,58.3,57.4,150.8
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,1,pdms_fn,28,24,315.653,241.746,0.525500185,2627,336.7,244.4,58.3,57.4,150.8
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,1,pdms_fn,29,27,315.653,242.794,0.349333333,2627,336.7,244.4,58.3,57.4,150.8
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,1,pdms_fn,30,30,315.863,244.262,0.494314789,2627,336.7,244.4,58.3,57.4,150.8
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,1,pdms_fn,31,33,316.702,245.415,0.475316269,2627,336.7,244.4,58.3,57.4,150.8
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,1,pdms_fn,32,36,317.226,247.721,0.788261942,2627,336.7,244.4,58.3,57.4,150.8
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,1,pdms_fn,33,39,318.798,250.342,1.018758776,2627,336.7,244.4,58.3,57.4,150.8
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,1,pdms_fn,34,42,321.838,253.487,1.45802854,2627,336.7,244.4,58.3,57.4,150.8
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,1,pdms_fn,35,45,325.507,257.156,1.729583187,2627,336.7,244.4,58.3,57.4,150.8
