raw,cell,condition,id,time,centrosome_mid_x,centrosome_mid_y
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,1,-15,17.4405,104.4635
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,1,-12,19.8595,107.1515
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,1,-9,21.741,105.419
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,1,-6,22.159,102.791
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,1,-3,21.92,102.4625
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,1,0,23.3535,103.2095
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,1,3,23.234,103.209
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,1,6,22.577,103.926
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,1,9,24.1895,106.4345
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,1,12,27.2955,106.9125
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,1,15,26.8775,107.3305
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,1,18,26.0415,109.0625
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,1,21,25.4435,110.018
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,1,24,25.086,109.7195
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,1,27,24.7865,109.242
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,1,30,24.548,109.4805
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,1,33,23.5925,109.3015
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,1,36,23.3535,109.6005
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,1,39,23.1145,109.5405
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,1,42,23.951,108.2865
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,1,45,23.7715,107.689
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,2,-15,85.53,107.271
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,2,-12,86.1275,108.4055
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,2,-9,85.3505,108.943
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,2,-6,82.902,110.5555
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,2,-3,81.4685,111.6905
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,2,0,81.11,111.2125
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,2,3,79.438,109.6005
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,2,6,79.318,109.66
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,2,9,78.482,109.6005
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,2,12,78.3025,109.899
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,2,15,79.2585,111.8695
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,2,18,79.9755,113.064
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,2,21,79.4975,112.288
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,2,24,79.7365,111.75
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,2,27,79.2585,110.6155
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,2,30,79.736,109.9585
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,3,-15,33.029,68.2685
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,3,-12,33.746,69.5225
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,3,-9,33.6865,70.359
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,3,-6,34.3435,70.12
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,3,-3,32.3125,70.4785
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,3,0,32.8505,69.5825
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,3,3,34.7015,68.9255
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,3,6,35.06,68.5075
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,3,9,35.717,68.2685
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,3,12,35.956,67.7905
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,3,15,35.717,66.955
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,3,18,35.4785,66.3575
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,3,21,35.717,67.313
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,3,24,35.478,67.6715
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,3,27,34.821,69.344
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,3,30,32.9095,69.344
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,3,33,34.1045,69.702
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,4,-15,111.332,96.3405
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,4,-12,110.7945,96.3405
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,4,-9,109.7195,97.7145
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,4,-6,109.242,98.5505
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,4,-3,110.3765,97.5945
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,4,0,110.317,96.938
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,4,3,110.6755,96.2805
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,4,6,109.421,95.325
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,4,9,107.9875,94.1305
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,4,12,107.3305,94.31
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,4,15,107.5695,94.0115
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,4,18,107.868,93.9515
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,4,21,108.585,93.414
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,4,24,108.943,93.4735
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,4,27,109.4805,94.668
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,4,30,109.4805,95.9225
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,4,33,109.5405,95.0865
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_5,control,5,-15,104.867,107.0615
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_5,control,5,-12,104.0155,108.1815
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_5,control,5,-9,102.627,108.316
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_5,control,5,-6,102.179,109.1225
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_5,control,5,-3,100.8355,109.839
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_5,control,5,0,101.014,109.7045
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_5,control,5,3,101.0145,109.794
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_5,control,5,6,102.8955,108.2265
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_5,control,5,9,101.7755,107.9575
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_5,control,5,12,100.8355,108.1365
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_5,control,5,15,100.5215,107.1065
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_5,control,5,18,99.8495,106.569
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_5,control,5,21,99.2225,107.5545
