raw,cell,condition,id,time,spindle_pole_a_vel,spindle_pole_b_vel,dist_centre_pole_a,dist_centre_pole_b,centre_cell_x,centre_cell_y,pole_a_x,pole_a_y,,,,,,pole_b_x,pole_b_y,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,1,-15,,,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,1,-12,1.549377689,1.101572865,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,1,-9,1.326181151,1.086694989,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,1,-6,2.222129609,1.59316889,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,1,-3,0.623576869,0.439822692,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,1,0,1.363114489,0.286780016,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,1,3,0.659137484,0.732236301,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,1,6,0.125753286,0.5360142,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,1,9,0.819927165,1.323434463,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,1,12,0.946455904,1.800751479,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,1,15,0.400303496,0.2672847,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,1,18,0.423324409,1.693991473,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,1,21,0.695172561,1.338091385,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,1,24,0.554287631,0.486050409,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,1,27,0.378103014,0.465966737,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,1,30,0.397866672,0.178140082,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,1,33,0.289830794,0.579661587,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,1,36,0.464532501,0.214354328,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,1,39,0.340277664,0.394094179,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,1,42,0.125858827,0.884075726,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,1,45,0.340277664,0.25192812,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,2,-15,,,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,2,-12,0.428708655,0.430724712,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,2,-9,0.559075626,0.399971805,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,2,-6,0.894675608,1.605133501,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,2,-3,0.71796696,0.50675986,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,2,0,0.30327417,0.20291487,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,2,3,0.430539842,1.127358023,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,2,6,0.321167315,0.36055898,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,2,9,0.797320652,0.239,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,2,12,0.318666667,0.281428499,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,2,15,0.367154978,1.133149495,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,2,18,0.517666667,0.553298392,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,2,21,0.267135629,0.405895033,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,2,24,0.119333333,0.503856241,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,2,27,0.453935996,0.400005,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,2,30,0.126069646,0.592041759,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,3,-15,,,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,3,-12,0.819765278,0.884090744,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,3,-9,0.662588275,0.554718447,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,3,-6,0.62311761,0.168762818,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,3,-3,0.517666667,1.382378787,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,3,0,0.225331361,0.782482091,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,3,3,0.946343724,0.375415917,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,3,6,0.318666667,0.289830794,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,3,9,0.400336664,0.734490375,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,3,12,0.399971805,0.743782301,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,3,15,0.163873257,0.444977528,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,3,18,0.199266711,0.367118661,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,3,21,0.254927659,0.479338549,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,3,24,0.214354328,0.089144701,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,3,27,0.902848886,0.570175217,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,3,30,1.579231459,0.876897625,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,3,33,0.731161101,0.199266711,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,4,-15,,,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,4,-12,0.439822692,0.797337305,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,4,-9,0.902848886,0.267135629,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,4,-6,0.62174709,0.11266568,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,4,-3,0.816962395,0.202980295,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,4,0,0.597133337,0.321167315,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,4,3,0.607712834,0.806349524,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,4,6,0.519133038,0.535791211,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,4,9,0.844756901,0.409882639,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,4,12,0.607887508,0.214354328,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,4,15,0.321001904,0.079666667,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,4,18,0.214354328,0.198800011,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,4,21,0.678102336,0.08899563,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,4,24,0.125753286,0.214354328,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,4,27,0.48426462,0.423324409,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,4,30,0.445186228,0.874293111,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,4,33,0.34008267,0.25192812,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_5,control,5,-15,,,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_5,control,5,-12,0.844804054,0.906718136,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_5,control,5,-9,0.588088523,0.508748028,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_5,control,5,-6,0.675758422,0.778622858,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_5,control,5,-3,0.188682567,0.829659636,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_5,control,5,0,0.37778683,0.507607898,,,,,,,,,,,,,,,,,,
