Experiment,Cell,Cell_Number,Treatment,Hours_Treatment,Time_Resolution,Frame,Time,X_pole,Y_pole,Pole_velocity
2015.01.15.hela_gfp-tub_rfp-h2b_rap1_stlc_rnai-ctrl-dyn-lgn-numa_gfp2-40x,ctrl-2day-5,1,control_rnai,48,3.5,1,0,78.612,133.706,
2015.01.15.hela_gfp-tub_rfp-h2b_rap1_stlc_rnai-ctrl-dyn-lgn-numa_gfp2-40x,ctrl-2day-5,1,control_rnai,48,3.5,2,3.5,78.447,133.87,0.066468344
2015.01.15.hela_gfp-tub_rfp-h2b_rap1_stlc_rnai-ctrl-dyn-lgn-numa_gfp2-40x,ctrl-2day-5,1,control_rnai,48,3.5,3,7,78.118,133.212,0.21019039
2015.01.15.hela_gfp-tub_rfp-h2b_rap1_stlc_rnai-ctrl-dyn-lgn-numa_gfp2-40x,ctrl-2day-5,1,control_rnai,48,3.5,4,10.5,76.145,132.883,0.571497853
2015.01.15.hela_gfp-tub_rfp-h2b_rap1_stlc_rnai-ctrl-dyn-lgn-numa_gfp2-40x,ctrl-2day-5,1,control_rnai,48,3.5,5,14,75.98,132.225,0.193820662
2015.01.15.hela_gfp-tub_rfp-h2b_rap1_stlc_rnai-ctrl-dyn-lgn-numa_gfp2-40x,ctrl-2day-5,1,control_rnai,48,3.5,6,17.5,72.033,132.39,1.128699233
2015.01.15.hela_gfp-tub_rfp-h2b_rap1_stlc_rnai-ctrl-dyn-lgn-numa_gfp2-40x,ctrl-2day-5,1,control_rnai,48,3.5,7,21,69.895,133.706,0.717302202
2015.01.15.hela_gfp-tub_rfp-h2b_rap1_stlc_rnai-ctrl-dyn-lgn-numa_gfp2-40x,ctrl-2day-5,1,control_rnai,48,3.5,8,24.5,66.935,132.719,0.891491252
2015.01.15.hela_gfp-tub_rfp-h2b_rap1_stlc_rnai-ctrl-dyn-lgn-numa_gfp2-40x,ctrl-2day-5,1,control_rnai,48,3.5,9,28,66.606,133.048,0.132936075
2015.01.15.hela_gfp-tub_rfp-h2b_rap1_stlc_rnai-ctrl-dyn-lgn-numa_gfp2-40x,ctrl-2day-5,1,control_rnai,48,3.5,10,31.5,67.099,131.896,0.358016417
2015.01.15.hela_gfp-tub_rfp-h2b_rap1_stlc_rnai-ctrl-dyn-lgn-numa_gfp2-40x,ctrl-2day-5,1,control_rnai,48,3.5,11,35,66.935,132.225,0.105031385
2015.01.15.hela_gfp-tub_rfp-h2b_rap1_stlc_rnai-ctrl-dyn-lgn-numa_gfp2-40x,ctrl-2day-5,1,control_rnai,48,3.5,12,38.5,68.086,131.403,0.404110007
2015.01.15.hela_gfp-tub_rfp-h2b_rap1_stlc_rnai-ctrl-dyn-lgn-numa_gfp2-40x,ctrl-2day-5,1,control_rnai,48,3.5,13,42,67.099,132.719,0.47
2015.01.15.hela_gfp-tub_rfp-h2b_rap1_stlc_rnai-ctrl-dyn-lgn-numa_gfp2-40x,ctrl-2day-5,1,control_rnai,48,3.5,14,45.5,68.086,131.732,0.398808225
2015.01.15.hela_gfp-tub_rfp-h2b_rap1_stlc_rnai-ctrl-dyn-lgn-numa_gfp2-40x,ctrl-2day-5,1,control_rnai,48,3.5,15,49,67.428,132.225,0.234914314
2015.01.15.hela_gfp-tub_rfp-h2b_rap1_stlc_rnai-ctrl-dyn-lgn-numa_gfp2-40x,ctrl-2day-5,1,control_rnai,48,3.5,16,52.5,68.086,131.896,0.21019039
2015.01.15.hela_gfp-tub_rfp-h2b_rap1_stlc_rnai-ctrl-dyn-lgn-numa_gfp2-40x,ctrl-2day-5,1,control_rnai,48,3.5,17,56,68.909,133.377,0.484088877
2015.01.15.hela_gfp-tub_rfp-h2b_rap1_stlc_rnai-ctrl-dyn-lgn-numa_gfp2-40x,ctrl-2day-5,1,control_rnai,48,3.5,18,59.5,67.593,133.212,0.37894386
2015.01.15.hela_gfp-tub_rfp-h2b_rap1_stlc_rnai-ctrl-dyn-lgn-numa_gfp2-40x,ctrl-2day-5,1,control_rnai,48,3.5,19,63,67.099,132.225,0.315349498
2015.01.15.hela_gfp-tub_rfp-h2b_rap1_stlc_rnai-ctrl-dyn-lgn-numa_gfp2-40x,ctrl-2day-5,1,control_rnai,48,3.5,20,66.5,67.428,132.554,0.132936075
2015.01.15.hela_gfp-tub_rfp-h2b_rap1_stlc_rnai-ctrl-dyn-lgn-numa_gfp2-40x,ctrl-2day-7,2,control_rnai,48,3.5,1,0,191.595,62.33,
2015.01.15.hela_gfp-tub_rfp-h2b_rap1_stlc_rnai-ctrl-dyn-lgn-numa_gfp2-40x,ctrl-2day-7,2,control_rnai,48,3.5,2,3.5,190.773,64.797,0.742954554
2015.01.15.hela_gfp-tub_rfp-h2b_rap1_stlc_rnai-ctrl-dyn-lgn-numa_gfp2-40x,ctrl-2day-7,2,control_rnai,48,3.5,3,7,189.786,70.224,1.576006267
2015.01.15.hela_gfp-tub_rfp-h2b_rap1_stlc_rnai-ctrl-dyn-lgn-numa_gfp2-40x,ctrl-2day-7,2,control_rnai,48,3.5,4,10.5,185.839,73.842,1.529805456
2015.01.15.hela_gfp-tub_rfp-h2b_rap1_stlc_rnai-ctrl-dyn-lgn-numa_gfp2-40x,ctrl-2day-7,2,control_rnai,48,3.5,5,14,181.892,74.994,1.174765734
2015.01.15.hela_gfp-tub_rfp-h2b_rap1_stlc_rnai-ctrl-dyn-lgn-numa_gfp2-40x,ctrl-2day-7,2,control_rnai,48,3.5,6,17.5,179.59,76.474,0.781918311
2015.01.15.hela_gfp-tub_rfp-h2b_rap1_stlc_rnai-ctrl-dyn-lgn-numa_gfp2-40x,ctrl-2day-7,2,control_rnai,48,3.5,7,21,176.958,75.487,0.803136352
2015.01.15.hela_gfp-tub_rfp-h2b_rap1_stlc_rnai-ctrl-dyn-lgn-numa_gfp2-40x,ctrl-2day-7,2,control_rnai,48,3.5,8,24.5,174.656,74.5,0.715620068
2015.01.15.hela_gfp-tub_rfp-h2b_rap1_stlc_rnai-ctrl-dyn-lgn-numa_gfp2-40x,ctrl-2day-7,2,control_rnai,48,3.5,9,28,172.354,71.54,1.07136396
