filename,position,condition,cell_id,frame,time,dna_area,dna_x,dna_y,dna_length,dna_width,dna_angle,cell_area,cell_x,cell_y,cell_length,cell_width,cell_angle,spindle_angle,spindle_length
2017_11_08_hctg_leica63x,Position001,control,1,21,-15,593.991,62.419,54.032,33.312,22.703,33.125,1426.325,62.392,53.478,58.302,31.149,22.478,,
2017_11_08_hctg_leica63x,Position001,control,1,22,-12,593.991,62.419,54.032,33.312,22.703,33.125,1426.325,62.392,53.478,58.302,31.149,22.478,,
2017_11_08_hctg_leica63x,Position001,control,1,23,-9,602.869,62.048,54.411,33.66,22.805,32.338,1469.819,64.49,53.8,58.743,31.858,21.687,,
2017_11_08_hctg_leica63x,Position001,control,1,24,-6,625.037,62.564,53.818,33.734,23.591,32.88,1469.819,64.49,53.8,58.743,31.858,21.687,,
2017_11_08_hctg_leica63x,Position001,control,1,25,-3,543,63.03,54.041,29.011,23.831,41.118,970.438,63.383,54.793,52.632,23.476,17.753,,
2017_11_08_hctg_leica63x,Position001,control,1,26,0,297.909,61.054,58.329,23.466,16.165,25.213,512.204,58.803,58.05,37.057,17.599,23.1,,
2017_11_08_hctg_leica63x,Position001,control,1,27,3,197.568,60.996,61.734,17.801,14.131,35.702,423.388,59.38,60.25,28.746,18.753,22.405,,
2017_11_08_hctg_leica63x,Position001,control,1,28,6,158.715,60.44,62.139,14.815,13.64,168.946,377.173,60.399,60.744,24.22,19.828,26.985,,
2017_11_08_hctg_leica63x,Position001,control,1,29,9,149.245,61.335,62.313,14.723,12.906,127.014,366.157,60.677,61.069,23.577,19.774,29.979,39.657,10.09
2017_11_08_hctg_leica63x,Position001,control,1,30,12,101.442,59.891,62.222,15.935,8.106,112.207,367.704,61.045,61.236,23.045,20.316,27.817,24.399,10.856
2017_11_08_hctg_leica63x,Position001,control,1,31,15,89.273,60.838,61.834,15.626,7.274,108.524,367.704,61.045,61.236,23.045,20.316,27.817,27.553,10.574
2017_11_08_hctg_leica63x,Position001,control,1,32,18,74.27,61.754,61.956,15.012,6.299,115.604,367.704,62.064,61.134,23.045,20.316,27.817,27.35,10.026
2017_11_08_hctg_leica63x,Position001,control,1,33,21,73.034,61.751,62.375,15.164,6.132,113.467,368.026,61.878,61.674,22.642,20.695,31.886,25.489,9.723
2017_11_08_hctg_leica63x,Position001,control,1,34,24,56.785,62.751,61.633,13.63,5.305,125.189,362.689,62.193,61.621,21.806,21.177,47.05,31.059,10.485
2017_11_08_hctg_leica63x,Position001,control,2,30,-15,353.978,61.191,54.031,24.534,18.37,87.68,1091.307,64.693,55.749,38.963,35.661,105.607,,
2017_11_08_hctg_leica63x,Position001,control,2,31,-12,489.081,61.77,53.518,30.166,20.643,69.425,1232.692,67.523,53.771,41.671,37.664,78.323,,
2017_11_08_hctg_leica63x,Position001,control,2,32,-9,473.953,61.644,52.978,29.642,20.358,77.502,1133.462,66.535,52.414,40.657,35.496,62.261,,
2017_11_08_hctg_leica63x,Position001,control,2,33,-6,519.379,61.474,52.944,29.68,22.281,79.249,875.901,65.713,53.856,34.358,32.459,43.889,,
2017_11_08_hctg_leica63x,Position001,control,2,34,-3,449.719,62.853,53.645,28.164,20.331,92.581,795.339,64.927,53.604,33.861,29.907,92.379,,
2017_11_08_hctg_leica63x,Position001,control,2,35,0,389.955,62.497,54.545,26.869,18.479,97.901,646.498,64.718,53.213,29.834,27.591,63.156,,
2017_11_08_hctg_leica63x,Position001,control,2,36,3,175.66,63.875,53.335,17.009,13.149,96.193,463.757,64.766,52.895,25.692,22.983,64.336,,
2017_11_08_hctg_leica63x,Position001,control,2,37,6,159.763,64.006,52.891,15.496,13.127,110.214,418.664,65.111,52.95,23.723,22.47,67.936,,
2017_11_08_hctg_leica63x,Position001,control,2,38,9,152.817,64.214,52.66,15.35,12.676,109.474,402.238,65.208,52.946,22.775,22.488,120.905,40.365,8.024
2017_11_08_hctg_leica63x,Position001,control,2,39,12,97.569,63.405,52.564,15.857,7.835,107.641,394.326,65.116,52.566,22.876,21.948,96.527,20.993,9.386
2017_11_08_hctg_leica63x,Position001,control,2,40,15,83.562,63.916,52.823,15.717,6.769,99.754,394.326,65.116,52.566,22.876,21.948,96.527,20.225,10.316
2017_11_08_hctg_leica63x,Position001,control,2,41,18,82.742,66.262,53.495,15.64,6.736,81.814,394.326,65.116,52.566,22.876,21.948,96.527,-18.789,10.483
2017_11_08_hctg_leica63x,Position001,control,2,42,21,93.063,67.181,52.828,15.446,7.671,101.022,394.326,65.116,52.566,22.876,21.948,96.527,7.125,9.783
